content,tips,lesson,translation,mask
"ちゅうごくじん（中国人）","","1","［名］ 中国人","中国人"
"にほんじん（日本人）","","1","［名］ 日本人","日本人"
"かんこくじん（韓国人）","","1","［名］ 韩国人","韓国人"
"アメリカじん（～人）","","1","［名］ 美国人","アメリカじん"
"フランスじん（～人）","","1","［名］ 法国人","フランスじん"
"がくせい（学生）","","1","［名］ （大）学生","学生"
"せんせい（先生）","","1","［名］ 老师","先生"
"りゅうがくせい（留学生）","","1","［名］ 留学生","留学生"
"きょうじゅ（教授）","","1","［名］ 教授","教授"
"しゃいん（社員）","","1","［名］ 职员","社員"
"かいしゃいん（会社員）","","1","［名］ 公司职员","会社員"
"てんいん（店員）","","1","［名］ 店员","店員"
"けんしゅうせい（研修生）","","1","［名］ 进修生","研修生"
"きぎょう（企業）","","1","［名］ 企业","企業"
"だいがく（大学）","","1","［名］ 大学","大学"
"ちち（父）","","1","［名］ （我）父亲","父"
"かちょう（課長）","","1","［名］ 科长","課長"
"しゃちょう（社長）","","1","［名］ 总经理，社长","社長"
"でむかえ（出迎え）","","1","［名］ 迎接","出迎え"
"あのひと（あの人）","","1","［名］ 那个人","あの人"
"わたし","","1","［代］ 我","わたし"
"あなた","","1","［代］ 你","あなた"
"どうも","","1","［副］ 非常，很","どうも"
"はい","","1","［叹］ 哎，是（应答）；是的","はい"
"いいえ","","1","［叹］ 不，不是","いいえ"
"あっ","","1","［叹］ 哎，哎呀","あっ"
"り（李）","","1","［专］ 李","李"
"おう（王）","","1","［专］ 王","王"
"ちょう（張）","","1","［专］ 张","張"
"もり（森）","","1","［专］ 森","森"
"はやし（林）","","1","［专］ 林","林"
"おの（小野）","","1","［专］ 小野","小野"
"よしだ（吉田）","","1","［专］ 吉田","吉田"
"たなか（田中）","","1","［专］ 田中","田中"
"なかむら（中村）","","1","［专］ 中村","中村"
"たろう（太郎）","","1","［专］ 太郎","太郎"
"キム（金）","","1","［专］ 金","金"
"デュポン","","1","［专］ 迪蓬","デュポン"
"スミス","","1","［专］ 史密斯","スミス"
"ジョンソン","","1","［专］ 约翰逊","ジョンソン"
"ちゅうごく（中国）","","1","［专］ 中国","中国"
"とうきょうだいがく（東京大学）","","1","［专］ 东京大学","東京大学"
"ペキンだいがく（北京大学）","","1","［专］ 北京大学","北京大学"
"ジェーシーきかく（ＪＣ企画）","","1","［专］ JC策划公司","ＪＣ企画"
"ペキンりょこうしゃ（北京旅行社）","","1","［专］ 北京旅行社","北京旅行社"
"にっちゅうしょうじ（日中商事）","","1","［专］ 日中商社","日中商事"
"こんにちは","","1","你好","こんにちは"
"すみません","","1","对不起，请问","すみません"
"どうぞ","","1","请","どうぞ"
"よろしくおねがいします","","1","请多关照","よろしくお願いします"
"はじめまして","","1","初次见面","はじめまして"
"こちらこそ","","1","我才要（请您～）","こちらこそ"
"そうです","","1","是（这样）","そうです"
"ちがいます","","1","不是","ちがいます"
"わかりません（分かりません）","","1","不知道","分かりません"
"どうもすみません","","1","实在对不起","どうもすみません"
"さん","","1","桑","さん"
"ちゃん","","1","酱","ちゃん"
"くん（君）","","1","君","君"
"ほん（本）","","2","［名］ 书","本"
"かばん","","2","［名］ 包，公文包","かばん"
"ノート","","2","［名］ 笔记本，本子","ノート"
"えんぴつ（鉛筆）","","2","［名］ 铅笔","鉛筆"
"かさ（傘）","","2","［名］ 伞","傘"
"くつ（靴）","","2","［名］ 鞋","靴"
"しんぶん（新聞）","","2","［名］ 报纸","新聞"
"ざっし（雑誌）","","2","［名］ 杂志","雑誌"
"じしょ（辞書）","","2","［名］ 词典","辞書"
"カメラ","","2","［名］ 照相机","カメラ"
"テレビ","","2","［名］ 电视机","テレビ"
"パソコン","","2","［名］ 个人电脑","パソコン"
"ラジオ","","2","［名］ 收音机","ラジオ"
"でんわ（電話）","","2","［名］ 电话","電話"
"つくえ（机）","","2","［名］ 桌子，书桌","机"
"いす","","2","［名］ 椅子","いす"
"かぎ","","2","［名］ 钥匙，锁","かぎ"
"とけい（時計）","","2","［名］ 钟，表","時計"
"てちょう（手帳）","","2","［名］ 记事本","手帳"
"しゃしん（写真）","","2","［名］ 照片","写真"
"くるま（車）","","2","［名］ 车","車"
"じてんしゃ（自転車）","","2","［名］ 自行车","自転車"
"おみやげ（お土産）","","2","［名］ 礼物","お土産"
"めいさんひん（名産品）","","2","［名］ 特产，名产","名産品"
"シルク","","2","［名］ 丝绸","シルク"
"ハンカチ","","2","［名］ 手绢","ハンカチ"
"かいしゃ（会社）","","2","［名］ 公司","会社"
"かた（方）","","2","［名］ （敬称）位，人","方"
"ひと（人）","","2","［名］ 人","人"
"かぞく（家族）","","2","［名］ 家人，家属","家族"
"はは（母）","","2","［名］ （我）母亲","母"
"おかあさん（お母さん）","","2","［名］ 母亲","お母さん"
"にほんご（日本語）","","2","［名］ 日语","日本語"
"ちゅうごくご（中国語）","","2","［名］ 汉语，中文","中国語"
"これ","","2","［代］ 这，这个","これ"
"それ","","2","［代］ 那，那个","それ"
"あれ","","2","［代］ 那，那个","あれ"
"どれ","","2","［疑］ 哪个","どれ"
"なん（何）","","2","［疑］ 什么","何"
"だれ","","2","［疑］ 谁","だれ"
"どなた","","2","［疑］ 哪位","どなた"
"この","","2","［连体］ 这，这个","この"
"その","","2","［连体］ 那，那个","その"
"あの","","2","［连体］ 那，那个","あの"
"どの","","2","［连体］ 哪个","どの"
"えっ","","2","［叹］ 啊","えっ"
"わあ","","2","［叹］ 哇","わあ"
"ええ","","2","［叹］ （应答）嗯，是","ええ"
"ながしま（長島）","","2","［专］ 长岛","長島"
"にほん（日本）","","2","［专］ 日本","日本"
"スワトウ","","2","［专］ 汕头","スワトウ"
"ロンドン","","2","［专］ 伦敦","ロンドン"
"ありがとうございます","","2","谢谢","ありがとうございます"
"おいくつ","","2","多大","おいくつ"
"なん（何）","","2","何","何"
"さい（歳）","","2","歳","歳"
"デパート","","3","［名］ 百货商店","デパート"
"しょくどう（食堂）","","3","［名］ 食堂","食堂"
"ゆうびんきょく（郵便局）","","3","［名］ 邮局","郵便局"
"ぎんこう（銀行）","","3","［名］ 银行","銀行"
"としょかん（図書館）","","3","［名］ 图书馆","図書館"
"マンション","","3","［名］ （高级）公寓","マンション"
"ホテル","","3","［名］ 宾馆","ホテル"
"コンビニ（Convenience store）","","3","［名］ 便利店","コンビニ"
"きっさてん（喫茶店）","","3","［名］ 咖啡馆","喫茶店"
"びょういん（病院）","","3","［名］ 医院","病院"
"ほんや（本屋）","","3","［名］ 书店","本屋"
"レストラン","","3","［名］ 餐馆，西餐馆","レストラン"
"ビル","","3","［名］ 大楼，大厦","ビル"
"たてもの（建物）","","3","［名］ 大楼，建筑物","建物"
"うりば（売り場）","","3","［名］ 柜台，出售处","売り場"
"トイレ","","3","［名］ 厕所，盥洗室","トイレ"
"いりぐち（入り口）","","3","［名］ 入口","入り口"
"じむしょ（事務所）","","3","［名］ 事务所，办事处","事務所"
"うけつけ（受付）","","3","［名］ 接待处","受付"
"バーゲンかいじょう（～会場）","","3","［名］ 降价处理大卖场","バーゲン会場"
"エスカレーター","","3","［名］ 自动扶梯","エスカレーター"
"ふく（服）","","3","［名］ 衣服","服"
"コート","","3","［名］ 风衣，大衣","コート"
"デジカメ","","3","［名］ 数码相机","デジカメ"
"くに（国）","","3","［名］ 国，国家","国"
"ちず（地図）","","3","［名］ 地图","地図"
"となり（隣）","","3","［名］ 旁边","隣"
"しゅうへん（周辺）","","3","［名］ 附近，周边","周辺"
"きょう（今日）","","3","［名］ 今天","今日"
"すいようび（水曜日）","","3","［名］ 星期三","水曜日"
"もくようび（木曜日）","","3","［名］ 星期四","木曜日"
"ここ","","3","［代］ 这里，这儿","ここ"
"そこ","","3","［代］ 那里，那儿","そこ"
"あそこ","","3","［代］ 那里，那儿","あそこ"
"こちら","","3","［代］ 这儿，这边","こちら"
"そちら","","3","［代］ 那儿，那边","そちら"
"あちら","","3","［代］ 那儿，那边","あちら"
"どこ","","3","［疑］ 哪里，哪儿","どこ"
"どちら","","3","［疑］ 哪儿，哪边","どちら"
"あのう","","3","［叹］ 请问，对不起","あのう"
"シャンハイ（上海）","","3","［专］ 上海","上海"
"とうきょう（東京）","","3","［专］ 东京","東京"
"いくら","","3","多少钱","いくら"
